Days ,total_vaccinations,people_vaccinated,people_fully_vaccinated
303,106417956,50262735,45852677
304,106749454,50296294,45873038
305,107150783,50336130,45894237
306,107849975,50455318,45942003
307,108279832,50491701,45964488
308,108693992,50526039,45986536
309,109213829,50559566,46010861
310,109471164,50582504,46027909
311,109807847,50614550,46045964
312,110206709,50645981,46065838
313,110646342,50679073,46087958
314,111082929,50707953,46108608
315,111495504,50735037,46130215
316,112008774,50761050,46154408
317,112277085,50777474,46168300
318,112627026,50800732,46186817
319,113041002,50827554,46208819
320,113467966,50852133,46232258
321,113910449,50875712,46255081
322,114321190,50896026,46278746
323,114842975,50919834,46311612
324,115179248,50941327,46341057
325,115546402,50963718,46367149
326,116001687,50994257,46399306
327,116467922,51020285,46431662
328,116945656,51046133,46462638
329,117387709,51069397,46492449
330,117917037,51096311,46530247
331,118256323,51118266,46557413
332,118630479,51138245,46582425
333,119073416,51161757,46610800
334,119539198,51183457,46640237
335,120066540,51207496,46674061
336,120549526,51229559,46706023
337,121165054,51255850,46745007
338,121616098,51279167,46775202
339,122178898,51298838,46804609
340,122907579,51332920,46842497
341,123719623,51360987,46881291
342,124656103,51393664,46923788
343,125583800,51426554,46966074
344,126608633,51464883,47011972
345,127528154,51498034,47051876
346,128516864,51537827,47102814
347,129579569,51577782,47156899
348,130512070,51617091,47210053
349,131194282,51649696,47254099
350,131388389,51660466,47268067
351,131400741,51661421,47268984
352,131427743,51663356,47271068
353,131743125,51681547,47294774
354,132121605,51705406,47324308
355,132633271,51738013,47368074
356,133108303,51771384,47412181
357,133312817,51786768,47434251
358,133336724,51789045,47437009
359,133477149,51801494,47453494
360,133667427,51820652,47482789
361,133956004,51845518,47523676
362,134274176,51874548,47565340
363,134563461,51897289,47600028
364,134844030,51920711,47635655
365,135162439,51952400,47687370
366,135357499,51974605,47718730
367,135551676,51992559,47745458
368,135739326,52011835,47774248
369,135915818,52031355,47804588
370,136080385,52051876,47836785
371,136244149,52072754,47867967
372,136438400,52100163,47926017
373,136554312,52117863,47963133
374,136669829,52133611,47989635
375,136792383,52151643,48019069
376,136905995,52168592,48048962
377,137022678,52186398,48082636
378,137145712,52203930,48116670
379,137287078,52224308,48164435
380,137372778,52236574,48195145
381,137474493,52252579,48224978
382,137570759,52266515,48253766
383,137671500,52281873,48284685
384,137770110,52297579,48314633
385,137878417,52314528,48348568
386,137991693,52333474,48388897
387,138064677,52345158,48416498
388,138143343,52360487,48440773
389,138220429,52373222,48467140
390,138299206,52385688,48494414
391,138377561,52399031,48520513
392,138459789,52414182,48549694
393,138540476,52428976,48577889
394,138585207,52437297,48594494
395,138650801,52447403,48617355
396,138718046,52458207,48642076
397,138785770,52468730,48666801
398,138857877,52480344,48693091
399,138937527,52491419,48718975
400,139019119,52506600,48745284
401,139059236,52514094,48758907
402,139117565,52522201,48777079
403,139203940,52531292,48796561
404,139271748,52542206,48818475
405,139336958,52551460,48839853
406,139383222,52557346,48854553
407,139447647,52568119,48875329
408,139482283,52573589,48885893
409,139534856,52581000,48901901
410,139591656,52589291,48919805
411,139648374,52598276,48937756
412,139698351,52606239,48953594
413,139752045,52614348,48969964
414,139809636,52623819,48989616
415,139840793,52628660,49000222
416,139884311,52634448,49014524
417,139927804,52640258,49029528
418,139973288,52647706,49043938
419,140027447,52654053,49061567
420,140075947,52660741,49078128
421,140128595,52668909,49096936
422,140156950,52672968,49106830
423,140194389,52677564,49120352
424,140233703,52682128,49135007
425,140275476,52687324,49150338
426,140315139,52692089,49164620
427,140354273,52696527,49178986
428,140404660,52704574,49198721
429,140430802,52708425,49209241
430,140477089,52713188,49226170
431,140516263,52717450,49240749
432,140553130,52721459,49254795
433,140591877,52725660,49269524
434,140631013,52730003,49284165
435,140680847,52740240,49303269
436,140708434,52747246,49312977
